Stop ID,Stop Abbreviation,Stop Name,Shelter?,Bench?,Route Numbers,Route Name,location,lat,lng
231,S5SFATSN,S 5TH ST & FATHERLAND ST SB,FALSE,FALSE,4,SHELBY,"(36.106285, -86.818123)",36.106285,-86.818123
350,BAPWILEN,BAPTIST WORLD CENTER DR & WILLIS ST EB,FALSE,FALSE,"14,41",WHITES CREEK,"(36.170153, -86.737493)",36.170153,-86.737493
717,CREGREWN,CRESTMOOR RD & GREEN HILLS VILLAGE DR WB,FALSE,FALSE,7,HILLSBORO,"(36.163543, -86.833819)",36.163543,-86.833819
506,BRO2AEN,BROADWAY AVE & 2ND AVE S EB,FALSE,TRUE,"25,27,36,44,60",LEBANON PIKE,"(36.045755, -86.673903)",36.045755,-86.673903
5192,GRAKIRNN,GRANNY WHITE PIKE & KIRKWOOD AVE NB,FALSE,FALSE,17,12TH AVENUE SOUTH,"(36.203949, -86.757812)",36.203949,-86.757812
836,EASSETEN,EASTLAND AVE & SETLIFF PL EB,FALSE,FALSE,4,SHELBY,"(36.167968, -86.821943)",36.167968,-86.821943
1379,LISEVASN,LISCHEY AVE & EVANSTON AVE SB,FALSE,FALSE,28,MERIDIAN,"(36.193804, -86.810007)",36.193804,-86.810007
841,EDG18AWN,EDGE HILL AVE & 18TH AVE S WB,FALSE,TRUE,25,MIDTOWN,"(36.222459, -86.725813)",36.222459,-86.725813
1099,HARWILEN,WEST END AVE & WILSON BLVD EB,FALSE,TRUE,"3,5",WEST END - WHITE BRIDGE,"(36.183043, -86.837221)",36.183043,-86.837221
5097,H70FORWM,HWY 70 & FOREST PARK APARTMENTS WB,FALSE,FALSE,5,WEST END - BELLEVUE,"(36.087796, -86.646873)",36.087796,-86.646873
2809,MEXHINN,MEXICO DR & HINKLE DR NB,FALSE,FALSE,22,BORDEAUX,"(36.21252, -86.623)",36.21252,-86.623
33,12AEDGSN,12TH AVE S & EDGEHILL AVE SB,FALSE,TRUE,"17,2",BELMONT,"(36.164618, -86.792332)",36.164618,-86.792332
5220,NEIRAMSM,NEIL AVE & RAMSY ST SB,FALSE,FALSE,30,McFERRIN,"(36.140259, -86.800294)",36.140259,-86.800294
1279,WOOGENEM,WOODMONT BLVD & GENERAL BATE DR EB,FALSE,FALSE,"17,8",8TH AVENUE SOUTH,"(36.174633, -86.806621)",36.174633,-86.806621
4695,NEEHOWEN,NEELY'S BEND RD & HOWSE AVE EB,FALSE,FALSE,76,MADISON CONNECTOR,"(36.179616, -86.64385)",36.179616,-86.64385
5352,THOSTEEF,THOMPSON LN & ST EDWARDS DR EB,FALSE,FALSE,77,THOMPSON CONNECTOR,"(36.221777, -86.810059)",36.221777,-86.810059
1755,OPROPRNM,OPRY MILLS FOOD COURT,FALSE,FALSE,34,OPRY MILLS,"(36.113886, -86.691696)",36.113886,-86.691696
5290,NWBMEMNN,NW BROAD & MEMORIAL BLVD NB,FALSE,FALSE,96,MURFREESBORO RELAX & RIDE,"(36.184821, -86.803404)",36.184821,-86.803404
5088,MXOPLUSP,PLUS PARK STATION OUTBOUND,TRUE,FALSE,"15,55",MURFREESBORO PIKE,"(36.166445, -86.803208)",36.166445,-86.803208
769,DICGRASN,N DICKERSON PIKE & GRACE ST SB,FALSE,TRUE,"14,23,43",WHITES CREEK,"(36.15508, -86.763995)",36.15508,-86.763995
794,DICSUNSN,DICKERSON PIKE & SUNSET CR SB,FALSE,FALSE,"23,43",DICKERSON ROAD,"(36.191857, -86.763648)",36.191857,-86.763648
1655,NXITHMPN,THOMPSON STATION INBOUND,FALSE,FALSE,52,NOLENSVILLE PK BRT LITE,"(36.220808, -86.624706)",36.220808,-86.624706
5256,LEBRIVWN,LEBANON PIKE & RIVERSTONE BLVD SB,FALSE,FALSE,6,LEBANON PIKE,"(36.190466, -86.806096)",36.190466,-86.806096
103,19SSHESN,S 19TH ST & SHELBY AVE EB,FALSE,FALSE,4,SHELBY,"(36.154729, -86.75842)",36.154729,-86.75842
3080,ALA39ANN,ALAMEDA ST & 39TH AVE N,FALSE,FALSE,19,HERMAN,"(36.203971, -86.726799)",36.203971,-86.726799
379,BELBLUWN,BELL RD & BLUE HOLE RD WB,FALSE,TRUE,33,HICKORY HOLLOW-LENOX EXPRESS,"(36.15189, -86.760889)",36.15189,-86.760889
1248,JONEDWNN,JONES AVE & EDWIN ST NB,FALSE,FALSE,30,McFERRIN,"(36.144049, -86.66659)",36.144049,-86.66659
5167,JON29AWF,JOHN A MERRITT BLVD & 29TH AVE WB,FALSE,FALSE,"21,60",UNIVERSITY CONNECTOR,"(36.133909, -86.78869)",36.133909,-86.78869
1467,METGREWM,METROCENTER & GREAT CIRCLE RD WB,FALSE,TRUE,9,METROCENTER,"(36.090005, -86.733428)",36.090005,-86.733428
944,GALMCANN,GALLATIN PIKE & GREENLAND AVE NB,FALSE,FALSE,26,GALLATIN PIKE,"(36.189242, -86.77303)",36.189242,-86.77303
1162,HINMEXEN,HINKLE DR & MEXICO DR EB,FALSE,FALSE,22,BORDEAUX,"(36.152293, -86.837289)",36.152293,-86.837289
2326,NASMUREM,NASHBORO BLVD & MURFREESBORO PIKE E,FALSE,FALSE,38,ANTIOCH EXPRESS,"(36.163054, -86.780078)",36.163054,-86.780078
4901,OLDRACSN,THE HERMITAGE SB,FALSE,FALSE,27,OLD HICKORY,"(36.176688, -86.784712)",36.176688,-86.784712
5426,JOJ11AEN,JO JOHNSTON AVE & 11TH AVE N EB,FALSE,FALSE,25,MIDTOWN,"(36.21307, -86.711415)",36.21307,-86.711415
137,21APIENM,21ST AVE S & PIERCE AVE NB,FALSE,TRUE,"35,7",HILLSBORO,"(36.178404, -86.819077)",36.178404,-86.819077
3221,COC17AWN,COCKRILL ST & 17TH AVE WB,FALSE,FALSE,42,ST. CECILIA - CUMBERLAND,"(36.188076, -86.821874)",36.188076,-86.821874
1293,LEBDANNN,LEBANON PIKE & DANYACREST AVE NB,FALSE,TRUE,6,LEBANON PIKE,"(36.159518, -86.774728)",36.159518,-86.774728
3178,ROWROWNN,ROWAN DR & ROWAN CT NB,FALSE,FALSE,14,WHITES CREEK,"(36.161732, -86.779169)",36.161732,-86.779169
1564,MURPINEM,MURFREESBORO PIKE & PINEWAY DR EB,FALSE,TRUE,"15,96",MURFREESBORO PIKE,"(36.089241, -86.688168)",36.089241,-86.688168
676,CLA9THEN,CLAY ST & 9TH AVE N EB,FALSE,FALSE,42,ST. CECILIA - CUMBERLAND,"(36.135345, -86.801115)",36.135345,-86.801115
4340,17AJACNN,17TH AVE N & JACKSON ST NB,FALSE,FALSE,19,HERMAN,"(36.160458, -86.824014)",36.160458,-86.824014
1125,HERLINWF,HERMITAGE AVE & LINDSLEY AVE WB,FALSE,FALSE,"25,27,33,34,36,37,38,44,84,86,96",LEBANON PIKE,"(36.130649, -86.700083)",36.130649,-86.700083
4359,LISRICSM,LISCHEY AVE & RICHARDSON AVE SB,FALSE,FALSE,28,MERIDIAN,"(36.184729, -86.815769)",36.184729,-86.815769
1748,OLD4TSNF,OLD HICKORY BLVD & 4TH ST NB,FALSE,FALSE,27,OLD HICKORY,"(36.154685, -86.806089)",36.154685,-86.806089
3211,10APONNN,10TH AVE N & PONDER PL NB,FALSE,FALSE,42,ST. CECILIA - CUMBERLAND,"(36.218706, -86.834137)",36.218706,-86.834137
1121,HERDRISF,HERMITAGE AVE & DRIFTWOOD ST SB,FALSE,TRUE,"25,34,36",LEBANON PIKE,"(36.27808, -86.753986)",36.27808,-86.753986
